Ankomstdatum;Fynddatum;Djurslag;Resultat;coords.x1;coords.x2
2017-11-20;;Havsörn;0;18.2192549345961;57.0911996279905
2017-11-20;;Morkulla;0;17.662599578632;59.8842133431491
2017-11-21;;Havsörn;0;18.0853779756078;59.6198662576733
2017-11-21;;Havsörn;0;17.6078888410603;59.8486478746863
2017-11-22;;Kungsörn;0;19.5998841845743;63.7275223254696
2017-11-23;;Slaguggla;0;14.9699704570681;61.7738003096695
2017-11-23;;Slaguggla;0;15.6834155359465;61.5432984130971
2017-11-23;;Slaguggla;0;16.4191466235257;61.2152158522423
2017-11-24;;Stadsduva;0;18.5630917899686;57.6437156850546
2017-11-24;;Stadsduva;0;18.5630917899686;57.6437156850546
2017-11-24;;Stadsduva;0;18.5630917899686;57.6437156850546
2017-12-01;;Gråtrut;0;17.6299983177592;59.211994128528
2017-12-05;;Slaguggla;0;15.8361782160592;59.7689025430595
2017-12-06;;Skata;0;13.2275031171755;55.7227147905752
2017-12-13;;Havsörn (Släkte);0;17.656351841587;60.2588849110455
2017-12-15;;Pilfink;0;17.964921721708;59.3577407819216
2017-12-20;;Stadsduva;0;11.963172473449;57.7023723635492
2017-12-21;;Havsörn;0;17.6361058424668;60.2583665130194
2017-12-22;;Lappuggla;0;16.9951717347133;65.2037039677664
2017-12-22;;Lappuggla;0;17.0003055212039;65.2005326779585
2018-01-09;;Ringduva;0;13.8508726021766;58.3886347135766
2018-01-09;;Kungsörn;0;16.2725306777353;60.1029145860063
2018-01-10;;Knölsvan;0;17.6090428471564;59.6404914830072
2018-01-16;;Knölsvan;0;18.2562669532567;59.2099797431899
2018-01-16;;Knölsvan;0;18.2562669532567;59.2099797431899
2018-01-17;;Gråsiska;0;15.9803178547227;60.2740009570953
2018-01-17;;Berguv;0;11.113253608635;58.957173440054
2018-01-19;2018-01-18;Kaja;0;12.9472412375331;55.4103461200737
2018-01-19;2018-01-13;Stenknäck;0;16.441597030993;59.6062461123636
2018-01-22;;Havsörn;0;18.0409728092506;60.7392759782809
2018-01-24;;Kungsörn;0;16.1265195980008;60.0620606914858
2018-01-24;;Kungsörn;0;21.320349111029;65.7768717681196
2018-01-31;;Lappuggla;0;17.3404787158917;62.1291443152526
